calendar_year,entity_group,total_spend_ils,average_weekly_row_spend_ils,rows,entities
2018,other_org_or_person,5178.684,207.147,25,2
2018,political_party,3146.500,1573.250,2,1
2019,other_org_or_person,3325935.938,5714.667,582,26
2019,political_party,3742997.183,25813.774,145,9
2020,other_org_or_person,5585021.474,5081.912,1099,35
2020,political_party,1357509.053,6114.906,222,10
2021,other_org_or_person,6546542.583,5747.623,1139,34
2021,political_party,5975424.424,16879.730,354,16
2022,other_org_or_person,5501763.910,4366.479,1260,38
2022,political_party,4391557.129,10685.054,411,14
2023,other_org_or_person,8433064.237,5922.096,1424,38
2023,political_party,232731.916,1124.309,207,11
2024,other_org_or_person,10806215.084,6856.735,1576,38
2024,political_party,242855.546,1537.060,158,8
2025,other_org_or_person,8418698.234,5924.489,1421,37
2025,political_party,263079.250,1406.841,187,7
2026,other_org_or_person,382.107,127.369,3,3
