model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high
all_entities_all_events,-2,0.071,0.031,2.337,0.023,0.01,0.132
all_entities_all_events,-1,0.056,0.026,2.127,0.037,0.003,0.109
all_entities_all_events,1,-0.025,0.025,-1.004,0.319,-0.074,0.025
all_entities_all_events,2,-0.043,0.026,-1.692,0.096,-0.094,0.008
political_parties_all_events,-2,0.162,0.093,1.743,0.102,-0.036,0.36
political_parties_all_events,-1,0.091,0.086,1.064,0.304,-0.092,0.275
political_parties_all_events,1,0,0.057,0.001,0.999,-0.122,0.122
political_parties_all_events,2,-0.041,0.063,-0.641,0.531,-0.175,0.094
other_orgs_people_all_events,-2,0.042,0.032,1.337,0.187,-0.021,0.106
other_orgs_people_all_events,-1,0.034,0.027,1.24,0.221,-0.021,0.089
other_orgs_people_all_events,1,-0.023,0.027,-0.828,0.412,-0.077,0.032
other_orgs_people_all_events,2,-0.041,0.026,-1.539,0.13,-0.094,0.012
all_entities_political_events,-2,0.114,0.04,2.867,0.006,0.034,0.193
all_entities_political_events,-1,0.149,0.035,4.298,0,0.08,0.218
all_entities_political_events,1,-0.066,0.033,-1.986,0.051,-0.132,0
all_entities_political_events,2,-0.067,0.037,-1.809,0.075,-0.142,0.007
all_entities_terror_events,-2,0.025,0.044,0.568,0.572,-0.063,0.113
all_entities_terror_events,-1,-0.058,0.043,-1.367,0.177,-0.143,0.027
all_entities_terror_events,1,0.017,0.03,0.568,0.572,-0.043,0.076
all_entities_terror_events,2,-0.018,0.041,-0.436,0.664,-0.099,0.064
political_parties_political_events,-2,0.233,0.156,1.491,0.157,-0.1,0.567
political_parties_political_events,-1,0.174,0.156,1.114,0.283,-0.159,0.506
political_parties_political_events,1,-0.185,0.124,-1.497,0.155,-0.45,0.079
political_parties_political_events,2,-0.194,0.098,-1.967,0.068,-0.404,0.016
political_parties_terror_events,-2,0.094,0.082,1.143,0.274,-0.083,0.27
political_parties_terror_events,-1,0.002,0.079,0.031,0.975,-0.168,0.173
political_parties_terror_events,1,0.175,0.039,4.462,0.001,0.09,0.26
political_parties_terror_events,2,0.12,0.079,1.506,0.156,-0.052,0.291
other_orgs_people_political_events,-2,0.071,0.041,1.729,0.09,-0.012,0.153
other_orgs_people_political_events,-1,0.122,0.035,3.522,0.001,0.052,0.192
other_orgs_people_political_events,1,-0.042,0.033,-1.262,0.213,-0.11,0.025
other_orgs_people_political_events,2,-0.043,0.037,-1.167,0.249,-0.117,0.031
other_orgs_people_terror_events,-2,0.013,0.048,0.259,0.797,-0.085,0.11
other_orgs_people_terror_events,-1,-0.072,0.047,-1.527,0.133,-0.166,0.023
other_orgs_people_terror_events,1,-0.002,0.032,-0.064,0.949,-0.067,0.063
other_orgs_people_terror_events,2,-0.037,0.044,-0.844,0.403,-0.125,0.051
