model_name,period,rows,unique_weekly_rows,entities,events,avg_weekly_spend_ils,median_weekly_spend_ils,avg_log_weekly_spend
all_entities_all_events,post_event,5967,4097,64,66,5515.354,1919.307,7.538
all_entities_all_events,pre_event,4073,3222,66,66,6583.169,2022.750,7.626
political_parties_all_events,post_event,824,568,15,66,3923.516,991.719,6.982
political_parties_all_events,pre_event,588,475,16,66,8132.489,1105.438,7.307
other_orgs_people_all_events,post_event,5143,3529,49,66,5770.395,2111.208,7.627
other_orgs_people_all_events,pre_event,3485,2747,50,66,6321.763,2206.374,7.680
all_entities_political_events,post_event,3130,2590,63,36,5242.231,1870.220,7.501
all_entities_political_events,pre_event,2195,1907,65,36,7603.057,2200.108,7.697
all_entities_terror_events,post_event,2837,2331,62,30,5816.685,1961.015,7.580
all_entities_terror_events,pre_event,1878,1657,60,30,5391.128,1865.831,7.543
political_parties_political_events,post_event,421,345,14,36,2943.464,988.395,6.897
political_parties_political_events,pre_event,334,301,16,36,12208.114,1314.213,7.561
political_parties_terror_events,post_event,403,328,15,30,4947.342,1000.000,7.072
political_parties_terror_events,pre_event,254,220,13,30,2773.204,1000.000,6.973
other_orgs_people_political_events,post_event,2709,2245,49,36,5599.478,2071.624,7.595
other_orgs_people_political_events,pre_event,1861,1606,49,36,6776.572,2339.653,7.722
other_orgs_people_terror_events,post_event,2434,2003,47,30,5960.623,2160.556,7.664
other_orgs_people_terror_events,pre_event,1624,1437,47,30,5800.581,2064.182,7.632
