model_name,model_label,real_estimate_display,real_std.error,real_p.value,real_conf.low,real_conf.high,real_used_rows,real_entities,real_events,real_within_r2,placebo_estimate_display,placebo_std.error,placebo_p.value,placebo_conf.low,placebo_conf.high,placebo_used_rows,placebo_entities,placebo_events,placebo_within_r2
all_entities_all_events,All entities x all events,-0.087***,0.022,0.000,-0.131,-0.042,10038,66,66,0.001,0.044*,0.023,0.054,-0.001,0.089,9939,64,66,0.000
political_parties_all_events,Political parties x all events,-0.140*,0.077,0.087,-0.304,0.023,1411,16,66,0.003,0.113*,0.061,0.084,-0.017,0.242,1914,16,66,0.002
other_orgs_people_all_events,Other orgs/people x all events,-0.059***,0.022,0.010,-0.104,-0.015,8627,50,66,0.001,0.022,0.021,0.296,-0.020,0.063,8025,48,66,0.000
all_entities_political_events,All entities x political events,-0.176***,0.036,0.000,-0.249,-0.104,5323,65,36,0.005,0.050*,0.027,0.068,-0.004,0.104,5327,63,36,0.000
all_entities_terror_events,All entities x terror events,0.016,0.031,0.599,-0.045,0.078,4714,62,30,0.000,0.044,0.029,0.140,-0.015,0.103,4609,63,30,0.000
political_parties_political_events,Political parties x political events,-0.337*,0.165,0.059,-0.688,0.015,755,16,36,0.018,0.171**,0.064,0.019,0.033,0.309,975,16,36,0.004
political_parties_terror_events,Political parties x terror events,0.050,0.064,0.449,-0.088,0.188,656,15,30,0.001,0.072,0.085,0.408,-0.107,0.251,938,15,30,0.001
other_orgs_people_political_events,Other orgs/people x political events,-0.125***,0.033,0.000,-0.192,-0.059,4568,49,36,0.003,0.020,0.028,0.482,-0.036,0.075,4352,47,36,0.000
other_orgs_people_terror_events,Other orgs/people x terror events,0.016,0.033,0.621,-0.050,0.083,4058,47,30,0.000,0.027,0.025,0.289,-0.023,0.077,3671,48,30,0.000
