calendar_year,entity_group,total_spend_ils,average_weekly_row_spend_ils,median_weekly_row_spend_ils,sd_weekly_row_spend_ils,min_weekly_row_spend_ils,p25_weekly_row_spend_ils,p75_weekly_row_spend_ils,max_weekly_row_spend_ils,rows,week_rows,entities
2020,other_org_or_person,5585021.474,5081.912,2249.500,9688.217,8.250,931.833,4888.415,120404.265,1099,52,35
2020,political_party,1364544.553,5709.391,970.417,18224.205,8.250,349.500,2224.250,150972.190,239,52,11
2021,other_org_or_person,6546542.583,5747.623,1964.444,16486.612,21.357,908.500,4282.630,282752.409,1139,52,34
2021,political_party,6087905.424,16234.414,2500.000,38311.928,49.500,876.893,9900.848,350750.000,375,52,16
2022,other_org_or_person,5501763.910,4366.479,1633.399,11016.760,0.973,648.909,4125.178,179758.522,1260,52,38
2022,political_party,4443749.629,9919.084,2446.621,27808.890,49.500,774.917,6981.433,415000.000,448,52,14
2023,other_org_or_person,8433064.237,5922.096,2218.086,14922.272,35.357,1033.977,5067.292,200425.854,1424,53,38
2023,political_party,232731.916,1124.309,781.667,1140.566,18.688,350.264,1366.985,6045.750,207,51,11
2024,other_org_or_person,10806215.084,6856.735,2472.046,16903.307,28.429,997.650,5376.940,323814.063,1576,52,38
2024,political_party,347440.546,2008.327,798.600,3414.122,31.188,322.417,2000.000,23482.614,173,52,9
2025,other_org_or_person,8418698.234,5924.489,2250.000,11319.019,9.967,943.100,5484.997,152169.650,1421,52,37
2025,political_party,263079.250,1406.841,299.000,2174.395,16.500,250.000,1749.500,10971.450,187,51,7
