model_name,relative_week,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_change,signif
all_entities_all_events,-2,-0.018,0.029,-0.632,0.529,-0.076,0.039,-1.8%,
all_entities_all_events,-1,0.002,0.022,0.100,0.921,-0.042,0.047,+0.2%,
all_entities_all_events,1,0.006,0.018,0.317,0.752,-0.029,0.041,+0.6%,
all_entities_all_events,2,0.006,0.021,0.283,0.778,-0.037,0.049,+0.6%,
political_parties_all_events,-2,-0.072,0.062,-1.151,0.267,-0.204,0.061,-6.9%,
political_parties_all_events,-1,-0.017,0.052,-0.328,0.747,-0.128,0.094,-1.7%,
political_parties_all_events,1,-0.002,0.046,-0.034,0.973,-0.098,0.095,-0.2%,
political_parties_all_events,2,-0.028,0.068,-0.413,0.685,-0.171,0.116,-2.8%,
other_orgs_people_all_events,-2,-0.013,0.032,-0.389,0.699,-0.077,0.052,-1.2%,
other_orgs_people_all_events,-1,0.010,0.024,0.415,0.680,-0.039,0.059,+1.0%,
other_orgs_people_all_events,1,0.016,0.019,0.840,0.405,-0.022,0.054,+1.6%,
other_orgs_people_all_events,2,0.020,0.022,0.929,0.358,-0.023,0.063,+2.0%,
all_entities_political_events,-2,0.024,0.044,0.537,0.593,-0.064,0.111,+2.4%,
all_entities_political_events,-1,0.049,0.034,1.444,0.154,-0.019,0.118,+5.1%,
all_entities_political_events,1,0.101,0.031,3.276,0.002,0.039,0.163,+10.6%,**
all_entities_political_events,2,0.110,0.039,2.857,0.006,0.033,0.187,+11.6%,**
all_entities_terror_events,-2,-0.052,0.031,-1.653,0.103,-0.114,0.011,-5.0%,
all_entities_terror_events,-1,-0.023,0.025,-0.915,0.364,-0.073,0.027,-2.3%,
all_entities_terror_events,1,-0.047,0.024,-1.988,0.051,-0.094,0.000,-4.6%,.
all_entities_terror_events,2,-0.048,0.029,-1.632,0.108,-0.107,0.011,-4.7%,
political_parties_political_events,-2,-0.071,0.117,-0.606,0.556,-0.327,0.184,-6.9%,
political_parties_political_events,-1,-0.086,0.070,-1.234,0.241,-0.237,0.066,-8.2%,
political_parties_political_events,1,0.076,0.071,1.063,0.309,-0.079,0.231,+7.9%,
political_parties_political_events,2,0.149,0.111,1.344,0.204,-0.093,0.392,+16.1%,
political_parties_terror_events,-2,-0.084,0.077,-1.091,0.292,-0.248,0.080,-8.1%,
political_parties_terror_events,-1,0.021,0.067,0.317,0.755,-0.120,0.163,+2.1%,
political_parties_terror_events,1,-0.033,0.057,-0.578,0.571,-0.155,0.088,-3.3%,
political_parties_terror_events,2,-0.101,0.090,-1.123,0.278,-0.291,0.089,-9.6%,
other_orgs_people_political_events,-2,0.036,0.047,0.760,0.451,-0.059,0.131,+3.7%,
other_orgs_people_political_events,-1,0.070,0.038,1.818,0.075,-0.007,0.147,+7.2%,.
other_orgs_people_political_events,1,0.096,0.035,2.771,0.008,0.026,0.166,+10.1%,**
other_orgs_people_political_events,2,0.095,0.041,2.300,0.026,0.012,0.178,+10.0%,*
other_orgs_people_terror_events,-2,-0.047,0.036,-1.310,0.197,-0.118,0.025,-4.6%,
other_orgs_people_terror_events,-1,-0.027,0.026,-1.071,0.290,-0.079,0.024,-2.7%,
other_orgs_people_terror_events,1,-0.034,0.024,-1.396,0.169,-0.083,0.015,-3.4%,
other_orgs_people_terror_events,2,-0.023,0.028,-0.838,0.407,-0.079,0.033,-2.3%,
