המשתנה התלוי: log(הוצאה שבועית),(1) כל המפרסמים,(2) מפלגות,(3) גופים פרטיים
פאנל א': כל האירועים,,,
מקדם PostEvent (β),-0.061,0.100,-0.091.
(טעות תקן),(0.052),(0.196),(0.052)
פאנל ב': אירועים פוליטיים,,,
מקדם PostEvent (β),-0.042,0.252,-0.091
(טעות תקן),(0.075),(0.287),(0.072)
פאנל ג': אירועי טרור,,,
מקדם PostEvent (β),-0.104,-0.053,-0.108
(טעות תקן),(0.067),(0.203),(0.072)
בקרות ונתוני מודל,,,
R2 - כל האירועים,0.357,0.364,0.372
R2 - אירועים פוליטיים,0.353,0.407,0.356
R2 - אירועי טרור,0.519,0.475,0.536
Fixed Effects,Yes,Yes,Yes
שורות שבועיות במדגם התיאורי,"9,548","1,629","7,919"
N - תצפיות חלון-אירוע מוערמות - כל האירועים,"1,825",253,"1,572"
שורות שבועיות ייחודיות בחלון - כל האירועים,"1,658",242,"1,416"
N - תצפיות חלון-אירוע מוערמות - אירועים פוליטיים,"1,039",180,859
שורות שבועיות ייחודיות בחלון - אירועים פוליטיים,928,169,759
N - תצפיות חלון-אירוע מוערמות - אירועי טרור,784,73,711
שורות שבועיות ייחודיות בחלון - אירועי טרור,730,73,657
